exp_names,terminations/base_pos_z_ref_error_thresh,oracle/entry
0,0.1,preview_cmmp.prev_ad.oracle
1,0.1,preview_cmmp.prev_orac.oracle_var
2,0.1,preview_cmmp.li_orac.oracle_var
3,0.1,preview_cmmp.lqr_orac.oracle_var
4,0.2,preview_cmmp.prev_ad.oracle
5,0.2,preview_cmmp.prev_orac.oracle_var
6,0.2,preview_cmmp.li_orac.oracle_var
7,0.2,preview_cmmp.lqr_orac.oracle_var
8,0.3,preview_cmmp.prev_ad.oracle
9,0.3,preview_cmmp.prev_orac.oracle_var
10,0.3,preview_cmmp.li_orac.oracle_var
11,0.3,preview_cmmp.lqr_orac.oracle_var
12,0.4,preview_cmmp.prev_ad.oracle
13,0.4,preview_cmmp.prev_orac.oracle_var
14,0.4,preview_cmmp.li_orac.oracle_var
15,0.4,preview_cmmp.lqr_orac.oracle_var
16,0.8,preview_cmmp.prev_ad.oracle
17,0.8,preview_cmmp.prev_orac.oracle_var
18,0.8,preview_cmmp.li_orac.oracle_var
19,0.8,preview_cmmp.lqr_orac.oracle_var
